time,logger,level,message,exception
2012-08-14 19:39:53.8791,Raven.Database.Server.HttpServer,Debug,Request #  29: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.8791,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.9094,Raven.Database.Server.HttpServer,Debug,Request #  30: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.9094,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.9396,Raven.Database.Server.HttpServer,Debug,Request #  31: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.9396,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.9680,Raven.Database.Server.HttpServer,Debug,Request #  32: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.9680,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.9963,Raven.Database.Server.HttpServer,Debug,Request #  33: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.9982,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:54.0187,Raven.Database.Server.HttpServer,Debug,Request #  34: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:54.0187,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.4494,Raven.Database.Server.HttpServer,Debug,Request #  35: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.4523,Raven.Database.Server.HttpServer,Debug,Request #  36: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.4523,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.4523,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.4680,Raven.Database.Server.HttpServer,Debug,Request #  37: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.4680,Raven.Database.Server.HttpServer,Debug,Request #  38: GET     -     1 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.4680,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.4846,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.5139,Raven.Database.Server.HttpServer,Debug,Request #  39: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.5139,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.5139,Raven.Database.Server.HttpServer,Debug,Request #  40: GET     -     1 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.5139,Raven.Database.Server.HttpServer,Debug,Request #  41: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.5139,Raven.Database.Server.HttpServer,Debug,Request #  42: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.5324,Raven.Database.Server.HttpServer,Debug,Request #  43: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.5324,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 1 ms
",
2012-08-14 19:44:42.5324,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.5324,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.5451,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.5451,Raven.Database.Server.HttpServer,Debug,Request #  44: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6584,Raven.Database.Server.HttpServer,Debug,Request #  45: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6584,Raven.Database.Server.HttpServer,Debug,Request #  46: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6584,Raven.Database.Server.HttpServer,Debug,Request #  47: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6584,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,Request #  48: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,Request #  49: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6691,Raven.Database.Server.HttpServer,Debug,Request #  50: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6867,Raven.Database.Server.HttpServer,Debug,Request #  51: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.6867,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6867,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6867,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.6867,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:44:42.7004,Raven.Database.Server.HttpServer,Debug,Request #  52: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.7004,Raven.Database.Server.HttpServer,Debug,Request #  53: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:44:42.7004,Raven.Database.Server.HttpServer,Debug,Request #  54: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
